user_id,tier,crawled
32588144,SILVER,0
32590233,SILVER,0
32623369,SILVER,0
32626993,SILVER,0
32652795,SILVER,0
32670411,SILVER,0
32672213,SILVER,0
32680900,SILVER,0
32689840,SILVER,0
32691026,SILVER,0
32713270,BRONZE,0
32724242,SILVER,0
32733446,SILVER,0
32739607,SILVER,0
32741552,SILVER,0
32749554,SILVER,0
32751417,SILVER,0
32759463,BRONZE,0
32761276,SILVER,0
32772891,SILVER,0
32773928,BRONZE,0
32829227,GOLD,0
32852322,SILVER,0
32857185,GOLD,0
32858652,SILVER,0
32862506,SILVER,0
32890044,SILVER,0
32906006,BRONZE,0
32906524,SILVER,0
32911608,SILVER,0
32946710,SILVER,0
32951303,SILVER,0
32957126,SILVER,0
32966295,SILVER,0
32970030,SILVER,0
33022088,SILVER,0
33041665,SILVER,0
33069224,SILVER,0
33360203,BRONZE,0
33421368,SILVER,0
33459772,SILVER,0
33719949,SILVER,0
33779472,SILVER,0
33809703,SILVER,0
33979539,SILVER,0
33988805,SILVER,0
33997117,SILVER,0
33999051,SILVER,0
34003234,SILVER,0
34009296,SILVER,0
34012618,SILVER,0
34023056,SILVER,0
34034714,SILVER,0
34052567,SILVER,0
34054978,SILVER,0
34057489,SILVER,0
34062516,SILVER,0
34063504,SILVER,0
34071438,BRONZE,0
34074733,SILVER,0
34079425,SILVER,0
34097806,GOLD,0
34099347,SILVER,0
34104890,SILVER,0
34105210,SILVER,0
34106710,SILVER,0
34110110,BRONZE,0
34124725,SILVER,0
34177523,SILVER,0
34183232,SILVER,0
34186505,SILVER,0
34198843,BRONZE,0
34199631,SILVER,0
34246445,SILVER,0
34301187,BRONZE,0
34320386,SILVER,0
34329644,SILVER,0
34333698,SILVER,0
34383426,GOLD,0
34440832,SILVER,0
34497220,SILVER,0
34511324,SILVER,0
34521529,GOLD,0
34523052,BRONZE,0
34540312,BRONZE,0
34577070,SILVER,0
34581733,GOLD,0
34596099,SILVER,0
34626465,SILVER,0
34636187,SILVER,0
34655809,SILVER,0
34660023,SILVER,0
